Timestamp	current
2018-08-15 06:32:41.500	-546.9
2018-08-15 06:33:35.500	0.0
2018-08-15 06:33:36.700	-546.9
2018-08-15 06:39:40.300	0.0
2018-08-15 06:39:41.500	-547.0
2018-08-15 06:49:49.900	0.0
2018-08-15 06:49:52.300	-547.0
2018-08-15 06:49:53.500	0.0
2018-08-15 06:49:55.900	-547.0
2018-08-15 06:53:31.900	-0.1
2018-08-15 06:53:33.100	-547.0
2018-08-15 06:53:35.500	0.0
2018-08-15 06:53:36.700	-547.0
2018-08-15 06:55:24.700	0.0
2018-08-15 06:55:25.900	-547.0
2018-08-15 07:00:12.700	0.0
2018-08-15 07:00:13.900	-547.0
2018-08-15 07:05:45.100	0.0
2018-08-15 07:05:46.300	-547.0
2018-08-15 07:05:47.500	0.0
2018-08-15 07:05:49.900	-547.0
2018-08-15 07:05:52.300	0.0
2018-08-15 07:05:53.500	-547.0
2018-08-15 07:07:01.900	0.0
2018-08-15 07:07:03.100	-547.0
2018-08-15 07:07:05.500	0.0
2018-08-15 07:07:06.700	-547.0
2018-08-15 07:07:09.100	0.0
2018-08-15 07:07:10.300	-547.0
2018-08-15 07:10:29.500	0.0
2018-08-15 07:10:30.700	-547.0
2018-08-15 07:14:13.900	0.0
2018-08-15 07:14:15.100	-547.0
2018-08-15 07:19:03.100	0.0
2018-08-15 07:19:05.500	-547.0
2018-08-15 07:26:28.300	0.0
2018-08-15 07:26:29.500	-547.0
2018-08-15 07:26:49.900	0.0
2018-08-15 07:26:51.100	-547.0
2018-08-15 07:37:27.100	0.0
2018-08-15 07:37:28.300	-546.9
2018-08-15 07:48:39.100	0.0
2018-08-15 07:48:40.300	-546.9
2018-08-15 07:48:59.500	0.0
2018-08-15 07:49:01.900	-546.9
2018-08-15 07:49:22.300	0.0
2018-08-15 07:49:23.500	-546.9
2018-08-15 08:00:47.500	0.1
2018-08-15 08:00:49.900	-546.8
2018-08-15 08:04:09.100	0.0
2018-08-15 08:04:10.300	-546.8
2018-08-15 08:07:30.700	0.0
2018-08-15 08:07:33.100	-546.8
2018-08-15 08:07:57.100	0.0
2018-08-15 08:07:59.500	-546.8
